Date,Time,Item,Quantity,Unit Price,Total Price,Payment Method,Staff
2025-05-07,11:18,Margherita,5,6.99,34.95,Cash,Jess
2025-05-29,13:10,Chicken Wings,3,5.99,17.97,Online Payment,Chris
2025-05-20,14:30,Hawaiian,2,8.99,17.98,Online Payment,Sam
2025-05-17,11:03,Pepperoni,5,8.99,44.95,Online Payment,Alex
2025-05-25,13:46,Margherita,3,6.99,20.97,Online Payment,Alex
2025-05-15,15:54,Garlic Bread,5,4.99,24.95,Online Payment,Taylor
2025-05-09,13:01,Cheese Burst,3,7.99,23.97,Card,Taylor
2025-05-19,11:59,Stuffed Crust,1,9.99,9.99,Card,Chris
2025-05-14,13:12,Choco Lava Cake,5,3.49,17.45,Card,Taylor
2025-05-14,20:48,Stuffed Crust,3,9.99,29.97,Online Payment,Jess
2025-05-04,18:24,Cheese Burst,3,7.99,23.97,Card,Sam
2025-05-24,10:08,Choco Lava Cake,2,3.49,6.98,Online Payment,Chris
2025-05-08,21:19,Margherita,4,6.99,27.96,Cash,Chris
2025-05-07,13:16,Hawaiian,3,8.99,26.97,Cash,Sam
2025-05-11,18:08,Choco Lava Cake,3,3.49,10.47,Card,Jess
2025-05-04,20:31,Soft Drink,5,1.99,9.95,Online Payment,Jess
2025-05-04,17:55,Choco Lava Cake,4,3.49,13.96,Cash,Alex
2025-05-31,20:57,Veggie Supreme,5,8.49,42.45,Card,Jess
2025-05-07,21:49,Soft Drink,1,1.99,1.99,Card,Alex
2025-05-24,20:46,Choco Lava Cake,3,3.49,10.47,Card,Taylor
2025-05-23,11:24,Cheese Burst,5,7.99,39.95,Online Payment,Alex
2025-05-28,14:48,Margherita,1,6.99,6.99,Card,Taylor
2025-05-20,10:31,Cheese Burst,2,7.99,15.98,Card,Chris
2025-05-26,12:40,Pepperoni,4,8.99,35.96,Online Payment,Taylor
2025-05-05,19:30,Tandoori Paneer,4,9.25,37.0,Card,Alex
2025-05-19,13:55,BBQ Chicken,5,9.49,47.45,Online Payment,Chris
2025-05-13,22:55,Pepperoni,3,8.99,26.97,Cash,Chris
2025-05-05,13:37,Garlic Bread,5,4.99,24.95,Online Payment,Taylor
2025-05-11,15:15,Garlic Bread,3,4.99,14.97,Card,Alex
2025-05-31,19:15,BBQ Chicken,1,9.49,9.49,Cash,Taylor
2025-05-31,11:23,Garlic Bread,3,4.99,14.97,Online Payment,Alex
2025-05-03,16:53,Cheese Burst,3,7.99,23.97,Cash,Jess
2025-05-23,15:48,Choco Lava Cake,3,3.49,10.47,Cash,Chris
2025-05-14,11:33,Veggie Supreme,3,8.49,25.47,Cash,Sam
2025-05-07,11:16,Chicken Wings,5,5.99,29.95,Card,Alex
2025-05-26,14:53,Choco Lava Cake,4,3.49,13.96,Online Payment,Jess
2025-05-02,11:51,Hawaiian,5,8.99,44.95,Card,Sam
2025-05-26,17:31,Veggie Supreme,5,8.49,42.45,Cash,Chris
2025-05-02,15:38,Margherita,3,6.99,20.97,Online Payment,Sam
2025-05-01,12:57,Soft Drink,2,1.99,3.98,Online Payment,Jess
2025-05-28,21:09,Veggie Supreme,3,8.49,25.47,Cash,Alex
2025-05-31,20:17,BBQ Chicken,4,9.49,37.96,Card,Jess
2025-05-04,15:13,Pepperoni,2,8.99,17.98,Card,Alex
2025-05-23,20:36,Chicken Wings,3,5.99,17.97,Cash,Taylor
2025-05-10,13:09,Soft Drink,5,1.99,9.95,Cash,Taylor
2025-05-19,18:59,Cheese Burst,5,7.99,39.95,Cash,Chris
2025-05-21,15:26,Margherita,3,6.99,20.97,Card,Sam
2025-05-04,18:33,Stuffed Crust,2,9.99,19.98,Online Payment,Taylor
2025-05-08,15:23,Margherita,4,6.99,27.96,Online Payment,Jess
2025-05-17,19:03,Veggie Supreme,4,8.49,33.96,Cash,Jess
2025-05-24,17:59,Margherita,2,6.99,13.98,Cash,Alex
2025-05-16,10:40,Pepperoni,2,8.99,17.98,Cash,Jess
2025-05-02,20:44,Cheese Burst,4,7.99,31.96,Online Payment,Chris
2025-05-13,17:50,Garlic Bread,2,4.99,9.98,Cash,Alex
2025-05-22,18:08,Pepperoni,2,8.99,17.98,Card,Taylor
2025-05-17,18:03,BBQ Chicken,2,9.49,18.98,Online Payment,Sam
2025-05-08,12:57,Stuffed Crust,1,9.99,9.99,Card,Chris
2025-05-29,13:57,Tandoori Paneer,3,9.25,27.75,Card,Jess
2025-05-07,15:18,Cheese Burst,4,7.99,31.96,Card,Alex
2025-05-09,18:47,Stuffed Crust,1,9.99,9.99,Card,Alex
2025-05-08,20:29,Veggie Supreme,2,8.49,16.98,Cash,Jess
2025-05-01,14:56,Hawaiian,3,8.99,26.97,Cash,Chris
2025-05-18,18:21,BBQ Chicken,4,9.49,37.96,Cash,Jess
2025-05-18,14:02,Veggie Supreme,5,8.49,42.45,Online Payment,Alex
2025-05-11,18:39,Garlic Bread,3,4.99,14.97,Online Payment,Chris
2025-05-05,13:20,Hawaiian,2,8.99,17.98,Card,Alex
2025-05-16,12:38,Tandoori Paneer,3,9.25,27.75,Card,Sam
2025-05-21,17:41,Choco Lava Cake,1,3.49,3.49,Cash,Chris
2025-05-22,19:01,Tandoori Paneer,2,9.25,18.5,Card,Chris
2025-05-22,14:24,Choco Lava Cake,4,3.49,13.96,Online Payment,Alex
2025-05-03,18:35,Soft Drink,4,1.99,7.96,Card,Chris
2025-05-15,18:33,Choco Lava Cake,4,3.49,13.96,Cash,Alex
2025-05-22,16:50,BBQ Chicken,1,9.49,9.49,Cash,Taylor
2025-05-15,20:59,Pepperoni,1,8.99,8.99,Card,Chris
2025-05-18,13:12,Garlic Bread,3,4.99,14.97,Cash,Sam
2025-05-04,14:01,Stuffed Crust,4,9.99,39.96,Online Payment,Taylor
2025-05-15,11:40,Chicken Wings,4,5.99,23.96,Online Payment,Jess
2025-05-31,17:03,Stuffed Crust,1,9.99,9.99,Card,Taylor
2025-05-27,12:59,Pepperoni,2,8.99,17.98,Card,Sam
2025-05-23,18:24,Garlic Bread,4,4.99,19.96,Online Payment,Taylor
2025-05-05,15:55,Veggie Supreme,4,8.49,33.96,Online Payment,Chris
2025-05-18,17:36,Cheese Burst,4,7.99,31.96,Online Payment,Chris
2025-05-20,11:50,Veggie Supreme,3,8.49,25.47,Card,Taylor
2025-05-28,13:23,Cheese Burst,5,7.99,39.95,Cash,Sam
2025-05-04,22:36,Cheese Burst,2,7.99,15.98,Online Payment,Alex
2025-05-27,12:46,BBQ Chicken,3,9.49,28.47,Online Payment,Chris
2025-05-05,10:01,Pepperoni,3,8.99,26.97,Online Payment,Taylor
2025-05-24,20:15,Pepperoni,4,8.99,35.96,Card,Chris
2025-05-19,17:13,Garlic Bread,4,4.99,19.96,Cash,Taylor
2025-05-15,15:13,Stuffed Crust,3,9.99,29.97,Online Payment,Taylor
2025-05-14,20:44,Stuffed Crust,4,9.99,39.96,Cash,Alex
2025-05-14,11:16,BBQ Chicken,4,9.49,37.96,Card,Sam
2025-05-07,13:48,Hawaiian,2,8.99,17.98,Cash,Jess
2025-05-18,11:18,Stuffed Crust,2,9.99,19.98,Online Payment,Jess
2025-05-15,17:28,BBQ Chicken,3,9.49,28.47,Card,Chris
2025-05-02,11:11,Hawaiian,2,8.99,17.98,Cash,Taylor
2025-05-22,22:31,Margherita,5,6.99,34.95,Online Payment,Alex
2025-05-16,12:13,Hawaiian,2,8.99,17.98,Card,Sam
2025-05-18,20:00,Soft Drink,1,1.99,1.99,Card,Sam
2025-05-14,17:35,Pepperoni,2,8.99,17.98,Card,Chris
2025-05-23,16:41,BBQ Chicken,3,9.49,28.47,Cash,Sam
2025-05-06,17:12,Garlic Bread,4,4.99,19.96,Cash,Alex
2025-05-18,17:59,Cheese Burst,2,7.99,15.98,Card,Jess
2025-05-22,20:39,Cheese Burst,1,7.99,7.99,Cash,Taylor
2025-05-24,12:55,Hawaiian,3,8.99,26.97,Online Payment,Sam
2025-05-06,15:29,Veggie Supreme,1,8.49,8.49,Card,Chris
2025-05-12,20:17,Stuffed Crust,4,9.99,39.96,Online Payment,Alex
2025-05-26,10:22,Margherita,5,6.99,34.95,Card,Sam
2025-05-03,13:02,Margherita,4,6.99,27.96,Cash,Alex
2025-05-13,11:37,Veggie Supreme,5,8.49,42.45,Cash,Alex
2025-05-02,16:01,BBQ Chicken,5,9.49,47.45,Cash,Chris
2025-05-03,16:04,Margherita,4,6.99,27.96,Card,Sam
2025-05-17,17:56,Veggie Supreme,1,8.49,8.49,Online Payment,Alex
2025-05-09,16:15,Garlic Bread,4,4.99,19.96,Cash,Taylor
2025-05-01,13:59,Hawaiian,1,8.99,8.99,Cash,Jess
2025-05-08,13:02,Margherita,5,6.99,34.95,Online Payment,Jess
2025-05-01,15:07,Chicken Wings,2,5.99,11.98,Cash,Jess
2025-05-13,14:32,Pepperoni,2,8.99,17.98,Cash,Alex
2025-05-24,16:56,Hawaiian,1,8.99,8.99,Cash,Chris
2025-05-25,11:53,Pepperoni,5,8.99,44.95,Cash,Alex
2025-05-18,10:06,Margherita,2,6.99,13.98,Cash,Alex
2025-05-22,20:23,Stuffed Crust,2,9.99,19.98,Card,Sam
2025-05-08,22:36,Garlic Bread,5,4.99,24.95,Cash,Sam
2025-05-06,21:40,Veggie Supreme,4,8.49,33.96,Card,Chris
2025-05-23,13:24,Veggie Supreme,3,8.49,25.47,Cash,Sam
2025-05-06,21:43,Choco Lava Cake,3,3.49,10.47,Card,Taylor
2025-05-03,16:39,Stuffed Crust,4,9.99,39.96,Cash,Taylor
2025-05-07,18:06,Stuffed Crust,5,9.99,49.95,Online Payment,Chris
2025-05-12,10:46,Stuffed Crust,5,9.99,49.95,Online Payment,Chris
2025-05-22,15:43,Choco Lava Cake,5,3.49,17.45,Cash,Chris
2025-05-06,12:01,Margherita,2,6.99,13.98,Online Payment,Sam
2025-05-18,10:30,Chicken Wings,3,5.99,17.97,Online Payment,Taylor
2025-05-02,18:54,Hawaiian,2,8.99,17.98,Card,Alex
2025-05-04,23:00,Stuffed Crust,5,9.99,49.95,Card,Sam
2025-05-19,11:58,Veggie Supreme,4,8.49,33.96,Cash,Jess
2025-05-07,11:28,Hawaiian,5,8.99,44.95,Online Payment,Sam
2025-05-19,14:36,Margherita,1,6.99,6.99,Card,Jess
2025-05-28,18:23,Veggie Supreme,3,8.49,25.47,Card,Taylor
2025-05-22,19:08,Cheese Burst,2,7.99,15.98,Online Payment,Chris
2025-05-27,11:47,Veggie Supreme,3,8.49,25.47,Online Payment,Chris
2025-05-05,22:38,Choco Lava Cake,5,3.49,17.45,Online Payment,Jess
2025-05-25,16:05,Choco Lava Cake,2,3.49,6.98,Cash,Taylor
2025-05-21,22:50,Hawaiian,2,8.99,17.98,Online Payment,Alex
2025-05-27,11:23,Stuffed Crust,2,9.99,19.98,Online Payment,Alex
2025-05-22,22:36,Garlic Bread,4,4.99,19.96,Cash,Sam
2025-05-18,16:13,Hawaiian,3,8.99,26.97,Online Payment,Alex
2025-05-06,13:07,Choco Lava Cake,1,3.49,3.49,Online Payment,Sam
2025-05-22,14:43,Veggie Supreme,2,8.49,16.98,Card,Jess
2025-05-28,14:21,Hawaiian,2,8.99,17.98,Cash,Taylor
2025-05-09,20:21,Tandoori Paneer,4,9.25,37.0,Card,Jess
2025-05-09,14:00,Garlic Bread,3,4.99,14.97,Cash,Alex
2025-05-06,20:12,Stuffed Crust,2,9.99,19.98,Card,Taylor
2025-05-28,12:27,Stuffed Crust,1,9.99,9.99,Cash,Taylor
2025-05-03,22:11,Choco Lava Cake,1,3.49,3.49,Card,Alex
2025-05-29,22:59,Garlic Bread,3,4.99,14.97,Card,Chris
2025-05-18,10:23,BBQ Chicken,5,9.49,47.45,Cash,Sam
2025-05-29,11:01,Chicken Wings,2,5.99,11.98,Cash,Taylor
2025-05-29,16:08,Margherita,2,6.99,13.98,Cash,Taylor
2025-05-31,17:09,Soft Drink,5,1.99,9.95,Online Payment,Jess
2025-05-06,12:43,Margherita,3,6.99,20.97,Cash,Jess
2025-05-16,13:47,Chicken Wings,4,5.99,23.96,Card,Chris
2025-05-17,19:35,Hawaiian,4,8.99,35.96,Online Payment,Alex
2025-05-02,22:26,Cheese Burst,5,7.99,39.95,Online Payment,Jess
2025-05-06,20:56,Pepperoni,2,8.99,17.98,Online Payment,Jess
2025-05-13,10:28,Stuffed Crust,3,9.99,29.97,Cash,Sam
2025-05-17,22:57,Garlic Bread,2,4.99,9.98,Cash,Chris
2025-05-08,21:56,Choco Lava Cake,5,3.49,17.45,Online Payment,Chris
2025-05-19,14:59,Margherita,1,6.99,6.99,Cash,Jess
2025-05-17,11:51,Pepperoni,4,8.99,35.96,Card,Alex
2025-05-29,14:07,Tandoori Paneer,3,9.25,27.75,Card,Taylor
2025-05-15,14:09,Pepperoni,1,8.99,8.99,Online Payment,Sam
2025-05-29,10:32,Choco Lava Cake,4,3.49,13.96,Cash,Alex
2025-05-28,21:34,Veggie Supreme,4,8.49,33.96,Cash,Jess
2025-05-12,19:15,Chicken Wings,1,5.99,5.99,Cash,Taylor
2025-05-14,20:24,Hawaiian,4,8.99,35.96,Cash,Alex
2025-05-05,13:06,Garlic Bread,1,4.99,4.99,Card,Alex
2025-05-18,17:00,Veggie Supreme,1,8.49,8.49,Cash,Jess
2025-05-29,16:54,Choco Lava Cake,3,3.49,10.47,Card,Jess
2025-05-20,12:58,Stuffed Crust,2,9.99,19.98,Card,Jess
2025-05-19,13:55,BBQ Chicken,5,9.49,47.45,Online Payment,Jess
2025-05-29,10:00,Hawaiian,5,8.99,44.95,Online Payment,Alex
2025-05-23,11:00,Chicken Wings,3,5.99,17.97,Online Payment,Sam
2025-05-08,17:18,Soft Drink,5,1.99,9.95,Card,Sam
2025-05-01,15:06,Garlic Bread,1,4.99,4.99,Card,Sam
2025-05-24,15:44,BBQ Chicken,4,9.49,37.96,Cash,Chris
2025-05-21,17:50,Garlic Bread,5,4.99,24.95,Card,Chris
2025-05-19,19:25,Tandoori Paneer,3,9.25,27.75,Online Payment,Jess
2025-05-20,20:53,Margherita,5,6.99,34.95,Cash,Sam
2025-05-24,10:51,Veggie Supreme,1,8.49,8.49,Cash,Jess
2025-05-20,18:06,BBQ Chicken,5,9.49,47.45,Online Payment,Taylor
2025-05-27,16:05,Choco Lava Cake,3,3.49,10.47,Card,Alex
2025-05-29,15:33,Cheese Burst,5,7.99,39.95,Online Payment,Taylor
2025-05-30,14:11,Cheese Burst,4,7.99,31.96,Online Payment,Alex
2025-05-07,15:20,Tandoori Paneer,5,9.25,46.25,Cash,Chris
2025-05-27,12:42,Cheese Burst,3,7.99,23.97,Card,Jess
2025-05-29,12:44,Stuffed Crust,2,9.99,19.98,Online Payment,Alex
2025-05-19,16:37,Veggie Supreme,4,8.49,33.96,Cash,Jess
2025-05-24,20:10,Soft Drink,5,1.99,9.95,Card,Jess
2025-05-16,21:57,BBQ Chicken,4,9.49,37.96,Online Payment,Sam
2025-05-26,10:46,Chicken Wings,4,5.99,23.96,Cash,Sam
2025-05-06,18:04,Stuffed Crust,3,9.99,29.97,Online Payment,Alex
2025-05-08,17:45,Cheese Burst,2,7.99,15.98,Cash,Jess
2025-05-14,13:44,Margherita,2,6.99,13.98,Card,Alex
2025-05-12,14:28,Soft Drink,4,1.99,7.96,Card,Jess
2025-05-14,16:21,Veggie Supreme,1,8.49,8.49,Online Payment,Jess
2025-05-21,18:07,Pepperoni,2,8.99,17.98,Online Payment,Sam
2025-05-04,13:24,Choco Lava Cake,1,3.49,3.49,Card,Taylor
2025-05-09,17:44,Margherita,1,6.99,6.99,Card,Sam
2025-05-15,12:52,Soft Drink,3,1.99,5.97,Card,Alex
2025-05-06,11:14,Margherita,1,6.99,6.99,Online Payment,Chris
2025-05-03,19:45,Cheese Burst,3,7.99,23.97,Online Payment,Taylor
2025-05-22,12:33,Choco Lava Cake,3,3.49,10.47,Card,Jess
2025-05-28,17:34,Pepperoni,3,8.99,26.97,Card,Taylor
2025-05-11,17:22,BBQ Chicken,4,9.49,37.96,Cash,Sam
2025-05-22,22:44,Choco Lava Cake,1,3.49,3.49,Online Payment,Alex
2025-05-18,11:54,Choco Lava Cake,3,3.49,10.47,Card,Alex
2025-05-01,21:49,Pepperoni,2,8.99,17.98,Online Payment,Chris
2025-05-28,17:25,Hawaiian,4,8.99,35.96,Card,Chris
2025-05-07,11:46,Tandoori Paneer,3,9.25,27.75,Cash,Taylor
2025-05-09,15:38,Choco Lava Cake,1,3.49,3.49,Cash,Sam
2025-05-03,18:24,Pepperoni,5,8.99,44.95,Online Payment,Jess
2025-05-06,18:07,Garlic Bread,4,4.99,19.96,Card,Alex
2025-05-08,11:01,Margherita,2,6.99,13.98,Cash,Chris
2025-05-04,10:25,Chicken Wings,5,5.99,29.95,Cash,Sam
2025-05-04,13:53,BBQ Chicken,3,9.49,28.47,Cash,Alex
2025-05-08,10:12,Garlic Bread,1,4.99,4.99,Online Payment,Chris
2025-05-05,14:40,Tandoori Paneer,4,9.25,37.0,Online Payment,Alex
2025-05-16,18:34,Stuffed Crust,5,9.99,49.95,Online Payment,Taylor
2025-05-31,22:31,BBQ Chicken,1,9.49,9.49,Cash,Chris
2025-05-10,20:22,Choco Lava Cake,3,3.49,10.47,Online Payment,Alex
2025-05-10,19:51,Tandoori Paneer,2,9.25,18.5,Online Payment,Jess
2025-05-27,20:40,Pepperoni,1,8.99,8.99,Card,Alex
2025-05-13,20:43,Garlic Bread,1,4.99,4.99,Card,Jess
2025-05-08,14:42,Choco Lava Cake,5,3.49,17.45,Online Payment,Chris
2025-05-12,10:49,Choco Lava Cake,3,3.49,10.47,Card,Alex
2025-05-23,22:52,Pepperoni,4,8.99,35.96,Online Payment,Taylor
2025-05-14,21:43,Stuffed Crust,1,9.99,9.99,Cash,Jess
2025-05-09,21:09,Cheese Burst,4,7.99,31.96,Card,Chris
2025-05-19,16:53,Hawaiian,5,8.99,44.95,Online Payment,Taylor
2025-05-15,13:31,BBQ Chicken,1,9.49,9.49,Card,Chris
2025-05-13,11:53,Stuffed Crust,2,9.99,19.98,Online Payment,Alex
2025-05-29,22:16,Hawaiian,1,8.99,8.99,Card,Jess
2025-05-07,22:34,Veggie Supreme,5,8.49,42.45,Online Payment,Jess
2025-05-22,21:03,Chicken Wings,2,5.99,11.98,Cash,Chris
2025-05-18,17:21,Cheese Burst,2,7.99,15.98,Card,Alex
2025-05-09,19:13,Soft Drink,1,1.99,1.99,Online Payment,Jess
2025-05-20,19:27,Veggie Supreme,2,8.49,16.98,Online Payment,Taylor
2025-05-02,12:18,Tandoori Paneer,2,9.25,18.5,Card,Taylor
2025-05-19,10:49,Garlic Bread,4,4.99,19.96,Card,Sam
2025-05-23,16:46,Cheese Burst,3,7.99,23.97,Online Payment,Jess
2025-05-31,17:28,Pepperoni,1,8.99,8.99,Card,Sam
2025-05-08,11:12,Choco Lava Cake,2,3.49,6.98,Card,Alex
2025-05-05,12:32,Chicken Wings,1,5.99,5.99,Card,Sam
2025-05-14,18:46,BBQ Chicken,5,9.49,47.45,Cash,Alex
2025-05-20,11:03,Garlic Bread,1,4.99,4.99,Online Payment,Chris
2025-05-11,10:17,BBQ Chicken,4,9.49,37.96,Online Payment,Chris
2025-05-30,19:26,Cheese Burst,1,7.99,7.99,Cash,Jess
2025-05-17,14:20,Stuffed Crust,3,9.99,29.97,Card,Jess
2025-05-28,11:53,Pepperoni,3,8.99,26.97,Cash,Taylor
2025-05-08,18:04,Hawaiian,1,8.99,8.99,Online Payment,Sam
2025-05-26,21:10,BBQ Chicken,1,9.49,9.49,Card,Chris
2025-05-21,13:41,Hawaiian,1,8.99,8.99,Card,Alex
2025-05-20,12:01,Margherita,1,6.99,6.99,Card,Alex
2025-05-22,21:30,Choco Lava Cake,2,3.49,6.98,Card,Chris
2025-05-29,12:33,Chicken Wings,5,5.99,29.95,Cash,Jess
2025-05-07,12:24,Choco Lava Cake,2,3.49,6.98,Online Payment,Jess
2025-05-28,10:05,Cheese Burst,1,7.99,7.99,Cash,Sam
2025-05-12,19:06,Cheese Burst,1,7.99,7.99,Cash,Jess
2025-05-28,11:23,Chicken Wings,3,5.99,17.97,Online Payment,Taylor
2025-05-09,13:10,Chicken Wings,4,5.99,23.96,Online Payment,Jess
2025-05-03,11:10,Pepperoni,2,8.99,17.98,Cash,Chris
2025-05-30,15:58,Margherita,1,6.99,6.99,Cash,Taylor
2025-05-24,14:22,Choco Lava Cake,3,3.49,10.47,Online Payment,Alex
2025-05-01,17:56,Cheese Burst,2,7.99,15.98,Online Payment,Sam
2025-05-25,19:45,Tandoori Paneer,4,9.25,37.0,Cash,Alex
2025-05-23,22:16,BBQ Chicken,2,9.49,18.98,Cash,Sam
2025-05-23,13:31,Margherita,5,6.99,34.95,Online Payment,Chris
2025-05-28,16:22,Soft Drink,4,1.99,7.96,Online Payment,Jess
2025-05-23,13:38,Stuffed Crust,4,9.99,39.96,Cash,Alex
2025-05-26,21:21,Stuffed Crust,2,9.99,19.98,Cash,Taylor
2025-05-29,21:35,Soft Drink,4,1.99,7.96,Online Payment,Chris
2025-05-01,12:41,Stuffed Crust,1,9.99,9.99,Online Payment,Chris
2025-05-25,13:11,Choco Lava Cake,3,3.49,10.47,Cash,Chris
2025-05-29,15:49,Stuffed Crust,5,9.99,49.95,Cash,Sam
2025-05-17,17:41,Choco Lava Cake,4,3.49,13.96,Online Payment,Taylor
2025-05-14,10:08,Margherita,5,6.99,34.95,Cash,Taylor
2025-05-22,10:49,Pepperoni,5,8.99,44.95,Card,Taylor
2025-05-31,14:00,Hawaiian,5,8.99,44.95,Online Payment,Chris
2025-05-03,22:56,Cheese Burst,2,7.99,15.98,Cash,Sam
2025-05-12,18:59,Garlic Bread,2,4.99,9.98,Cash,Sam
2025-05-04,22:05,Tandoori Paneer,4,9.25,37.0,Cash,Chris
2025-05-12,21:10,Veggie Supreme,4,8.49,33.96,Online Payment,Jess
2025-05-20,14:03,Stuffed Crust,3,9.99,29.97,Online Payment,Jess
2025-05-24,12:06,Soft Drink,5,1.99,9.95,Cash,Chris
2025-05-20,10:37,Margherita,3,6.99,20.97,Online Payment,Alex
2025-05-29,20:27,Veggie Supreme,1,8.49,8.49,Online Payment,Chris
2025-05-03,17:10,Garlic Bread,2,4.99,9.98,Online Payment,Taylor
2025-05-16,19:56,Pepperoni,3,8.99,26.97,Online Payment,Sam
2025-05-14,20:14,Choco Lava Cake,3,3.49,10.47,Online Payment,Alex
2025-05-06,12:04,Choco Lava Cake,2,3.49,6.98,Online Payment,Chris
2025-05-07,17:17,Garlic Bread,3,4.99,14.97,Online Payment,Alex
2025-05-21,11:12,Margherita,2,6.99,13.98,Cash,Sam
2025-05-21,18:42,Hawaiian,3,8.99,26.97,Cash,Sam
2025-05-21,20:12,Choco Lava Cake,4,3.49,13.96,Online Payment,Chris
2025-05-07,22:39,Margherita,4,6.99,27.96,Card,Taylor
2025-05-11,14:01,Cheese Burst,1,7.99,7.99,Online Payment,Taylor
2025-05-02,21:39,Margherita,1,6.99,6.99,Card,Taylor
2025-05-11,16:35,Veggie Supreme,1,8.49,8.49,Cash,Jess
2025-05-31,22:24,Soft Drink,2,1.99,3.98,Cash,Sam
2025-05-07,19:27,Tandoori Paneer,2,9.25,18.5,Card,Jess
2025-05-24,20:21,Chicken Wings,3,5.99,17.97,Online Payment,Alex
2025-05-17,22:05,Cheese Burst,2,7.99,15.98,Cash,Taylor
2025-05-05,22:48,Veggie Supreme,2,8.49,16.98,Online Payment,Chris
2025-05-18,16:42,Choco Lava Cake,3,3.49,10.47,Cash,Taylor
2025-05-24,21:30,BBQ Chicken,1,9.49,9.49,Online Payment,Chris
2025-05-14,13:09,Tandoori Paneer,2,9.25,18.5,Cash,Sam
2025-05-18,14:12,Cheese Burst,2,7.99,15.98,Online Payment,Alex
2025-05-26,21:00,Hawaiian,5,8.99,44.95,Cash,Jess
2025-05-07,19:50,Chicken Wings,1,5.99,5.99,Card,Taylor
2025-05-07,17:28,Hawaiian,3,8.99,26.97,Cash,Sam
2025-05-12,19:02,Cheese Burst,2,7.99,15.98,Cash,Jess
2025-05-16,14:16,Choco Lava Cake,1,3.49,3.49,Card,Chris
2025-05-12,13:32,Cheese Burst,5,7.99,39.95,Cash,Sam
2025-05-12,14:47,Cheese Burst,3,7.99,23.97,Card,Jess
2025-05-10,10:43,Hawaiian,3,8.99,26.97,Card,Chris
2025-05-16,19:25,BBQ Chicken,3,9.49,28.47,Online Payment,Chris
2025-05-01,12:57,Veggie Supreme,1,8.49,8.49,Online Payment,Taylor
2025-05-03,17:10,Veggie Supreme,5,8.49,42.45,Cash,Chris
2025-05-03,22:42,Hawaiian,2,8.99,17.98,Online Payment,Sam
2025-05-15,10:00,Chicken Wings,5,5.99,29.95,Online Payment,Taylor
2025-05-19,13:52,Choco Lava Cake,4,3.49,13.96,Card,Jess
2025-05-08,13:55,BBQ Chicken,1,9.49,9.49,Online Payment,Sam
2025-05-18,22:46,Choco Lava Cake,3,3.49,10.47,Online Payment,Jess
2025-05-12,20:23,Choco Lava Cake,5,3.49,17.45,Cash,Chris
2025-05-27,21:23,Margherita,5,6.99,34.95,Card,Sam
2025-05-27,12:55,Chicken Wings,2,5.99,11.98,Online Payment,Taylor
2025-05-06,20:42,Pepperoni,1,8.99,8.99,Cash,Taylor
2025-05-23,22:03,Garlic Bread,2,4.99,9.98,Cash,Sam
2025-05-30,22:53,Tandoori Paneer,3,9.25,27.75,Card,Taylor
2025-05-09,10:00,BBQ Chicken,2,9.49,18.98,Card,Alex
2025-05-26,15:29,Hawaiian,2,8.99,17.98,Online Payment,Taylor
2025-05-06,10:21,Chicken Wings,2,5.99,11.98,Cash,Chris
2025-05-22,17:48,Margherita,2,6.99,13.98,Online Payment,Chris
2025-05-28,15:27,Cheese Burst,2,7.99,15.98,Card,Sam
2025-05-18,21:13,Margherita,5,6.99,34.95,Cash,Sam
2025-05-14,16:14,BBQ Chicken,2,9.49,18.98,Cash,Chris
2025-05-04,11:43,Veggie Supreme,3,8.49,25.47,Card,Jess
2025-05-22,13:00,Cheese Burst,2,7.99,15.98,Cash,Taylor
2025-05-10,16:00,Cheese Burst,1,7.99,7.99,Card,Taylor
2025-05-16,22:37,Soft Drink,1,1.99,1.99,Card,Sam
2025-05-29,14:25,Pepperoni,1,8.99,8.99,Card,Jess
2025-05-29,14:23,Pepperoni,1,8.99,8.99,Card,Chris
2025-05-26,12:48,Soft Drink,3,1.99,5.97,Card,Jess
2025-05-06,14:53,Margherita,4,6.99,27.96,Cash,Jess
2025-05-17,18:03,Soft Drink,3,1.99,5.97,Cash,Taylor
2025-05-01,14:04,Hawaiian,1,8.99,8.99,Online Payment,Chris
2025-05-17,20:19,Pepperoni,1,8.99,8.99,Card,Sam
2025-05-04,18:42,Garlic Bread,2,4.99,9.98,Online Payment,Alex
2025-05-03,15:45,Hawaiian,2,8.99,17.98,Online Payment,Taylor
2025-05-13,13:54,Choco Lava Cake,3,3.49,10.47,Card,Sam
2025-05-29,18:59,Soft Drink,1,1.99,1.99,Online Payment,Jess
2025-05-29,13:23,Garlic Bread,3,4.99,14.97,Cash,Chris
2025-05-05,12:40,Cheese Burst,1,7.99,7.99,Card,Chris
2025-05-29,13:05,Tandoori Paneer,4,9.25,37.0,Card,Chris
2025-05-16,13:48,Margherita,2,6.99,13.98,Cash,Chris
2025-05-14,15:57,Hawaiian,3,8.99,26.97,Card,Jess
2025-05-29,16:09,Hawaiian,2,8.99,17.98,Card,Taylor
2025-05-02,19:46,Pepperoni,5,8.99,44.95,Online Payment,Alex
2025-05-09,10:51,Tandoori Paneer,3,9.25,27.75,Card,Alex
2025-05-09,21:48,Margherita,5,6.99,34.95,Card,Sam
2025-05-13,19:37,Cheese Burst,2,7.99,15.98,Online Payment,Jess
